query_id, pipeline_id, exec_mode, num_features, features, est_output_rows, key_sizes, num_keys, est_cardinalities, mem_factor, num_iterations, start_time, cpu_id, cpu_cycles, instructions, cache_ref, cache_miss, ref_cpu_cycles_, block_read, block_write, memory_b, elapsed_us
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388264418, 4, 31546, 9915, 966, 36, 10, 0, 0, 0, 18
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388264613, 4, 33085, 9906, 783, 47, 10, 0, 0, 0, 19
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388265349, 4, 33394, 9925, 907, 40, 10, 0, 0, 0, 18
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388265606, 4, 34595, 9849, 859, 54, 11, 0, 0, 0, 21
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388288966, 4, 25278, 8067, 1043, 32, 8, 0, 0, 0, 8
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388289186, 4, 14567, 8067, 701, 1, 5, 0, 0, 0, 5
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388289449, 4, 22369, 9924, 902, 31, 7, 0, 0, 0, 7
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388289649, 4, 19844, 9876, 689, 3, 6, 0, 0, 0, 6
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388289797, 4, 17195, 9897, 633, 1, 6, 0, 0, 0, 6
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388305552, 4, 38524, 11709, 1114, 98, 12, 0, 0, 0, 12
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388305727, 4, 27371, 9886, 962, 42, 9, 0, 0, 0, 8
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388305895, 4, 20481, 9838, 669, 2, 6, 0, 0, 0, 7
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388322256, 4, 33772, 8067, 1042, 44, 10, 0, 0, 0, 19
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388322577, 4, 13601, 7602, 523, 3, 4, 0, 0, 0, 4
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388322735, 4, 30610, 9891, 869, 35, 9, 0, 0, 0, 17
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388322979, 4, 18352, 9868, 744, 2, 6, 0, 0, 0, 6
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388323132, 4, 15471, 9889, 576, 1, 5, 0, 0, 0, 5
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388339071, 4, 48376, 11534, 1221, 135, 16, 0, 0, 0, 31
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388339336, 4, 35965, 9900, 1001, 49, 12, 0, 0, 0, 21
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388339528, 4, 19582, 9857, 766, 4, 6, 0, 0, 0, 6
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388355494, 4, 33721, 8071, 1015, 37, 10, 0, 0, 0, 18
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388355717, 4, 19778, 8067, 705, 40, 6, 0, 0, 0, 6
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388355931, 4, 31491, 9913, 909, 38, 11, 0, 0, 0, 18
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388356140, 4, 22466, 9924, 765, 28, 7, 0, 0, 0, 7
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388356361, 4, 29375, 9776, 716, 36, 10, 0, 0, 0, 18
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388356532, 4, 18769, 9854, 674, 34, 6, 0, 0, 0, 6
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388372263, 4, 34547, 8069, 1038, 42, 11, 0, 0, 0, 20
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388372433, 4, 27761, 7596, 503, 48, 9, 0, 0, 0, 20
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388372593, 4, 29835, 9926, 882, 31, 10, 0, 0, 0, 17
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388372772, 4, 32046, 9877, 791, 37, 10, 0, 0, 0, 19
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388373010, 4, 28949, 9774, 738, 30, 10, 0, 0, 0, 18
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388373210, 4, 30664, 9840, 661, 42, 10, 0, 0, 0, 35
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388397150, 4, 29635, 7637, 766, 56, 10, 0, 0, 0, 17
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388397345, 4, 23221, 7621, 539, 35, 7, 0, 0, 0, 15
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388397503, 4, 28458, 9948, 945, 37, 9, 0, 0, 0, 13
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388397692, 4, 30785, 9865, 834, 43, 9, 0, 0, 0, 18
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388397876, 4, 23838, 9795, 737, 30, 8, 0, 0, 0, 11
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388398068, 4, 28951, 9842, 636, 33, 9, 0, 0, 0, 18
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388414099, 4, 35663, 11549, 1191, 115, 29, 0, 0, 0, 56
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388414514, 4, 35501, 9951, 1021, 40, 11, 0, 0, 0, 17
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388414724, 4, 30276, 9952, 845, 39, 10, 0, 0, 0, 18
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388415638, 4, 40302, 11582, 1175, 114, 13, 0, 0, 0, 24
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388415847, 4, 30556, 9893, 1023, 49, 10, 0, 0, 0, 16
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388416027, 4, 20627, 9855, 721, 1, 7, 0, 0, 0, 6
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388439002, 4, 45952, 11500, 1143, 109, 15, 0, 0, 0, 38
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388439278, 4, 29349, 9873, 1035, 33, 10, 0, 0, 0, 14
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388439454, 4, 27255, 9921, 816, 29, 8, 0, 0, 0, 13
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388440481, 4, 38350, 11532, 1159, 83, 13, 0, 0, 0, 22
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388440754, 4, 34783, 9883, 987, 36, 12, 0, 0, 0, 32
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388440984, 4, 26034, 9847, 869, 35, 8, 0, 0, 0, 15
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388441860, 4, 17849, 7224, 503, 39, 14, 0, 0, 0, 29
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388442172, 4, 12177, 7591, 451, 9, 4, 0, 0, 0, 4
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388442356, 4, 27071, 9897, 830, 31, 8, 0, 0, 0, 14
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388442592, 4, 19073, 10306, 737, 12, 6, 0, 0, 0, 6
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388442761, 4, 14122, 9798, 510, 0, 4, 0, 0, 0, 5
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388464278, 4, 41929, 11323, 1159, 87, 14, 0, 0, 0, 26
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388464734, 4, 25726, 9869, 835, 36, 21, 0, 0, 0, 34
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388480821, 4, 40209, 11500, 1229, 96, 13, 0, 0, 0, 23
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388481061, 4, 28166, 9872, 841, 33, 9, 0, 0, 0, 13
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388497371, 4, 28739, 7614, 766, 17, 9, 0, 0, 0, 29
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388497566, 4, 26610, 7663, 545, 39, 9, 0, 0, 0, 16
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388497814, 4, 21414, 9927, 965, 31, 17, 0, 0, 0, 24
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388498085, 4, 22826, 9916, 860, 35, 18, 0, 0, 0, 34
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388498314, 4, 26513, 9774, 728, 25, 9, 0, 0, 0, 27
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388498535, 4, 29257, 9884, 700, 35, 9, 0, 0, 0, 17
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388522523, 4, 24620, 7596, 756, 33, 8, 0, 0, 0, 28
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388522730, 4, 14861, 7617, 538, 6, 4, 0, 0, 0, 5
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388522898, 4, 26088, 9910, 934, 28, 8, 0, 0, 0, 11
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388523078, 4, 19390, 10308, 711, 3, 6, 0, 0, 0, 6
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388523225, 4, 14187, 9800, 484, 0, 4, 0, 0, 0, 4
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388547412, 4, 27176, 7642, 763, 39, 22, 0, 0, 0, 46
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388547747, 4, 17715, 7628, 512, 36, 6, 0, 0, 0, 5
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388547885, 4, 27837, 7285, 409, 36, 8, 0, 0, 0, 19
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388548117, 4, 13828, 7395, 376, 25, 4, 0, 0, 0, 5
37, 0, 0, 3, UPDATE;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388548342, 4, 31113, 9992, 631, 35, 10, 0, 0, 0, 20
34, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388548516, 4, 19611, 10085, 521, 26, 6, 0, 0, 0, 6
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388572282, 4, 31134, 7596, 760, 34, 10, 0, 0, 0, 19
35, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;8;8, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388572460, 4, 14828, 7611, 474, 0, 5, 0, 0, 0, 5
32, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388572650, 4, 22542, 7238, 400, 33, 7, 0, 0, 0, 15
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388572809, 4, 18669, 10122, 609, 1, 5, 0, 0, 0, 6
36, 0, 0, 4, UPDATE;OP_DECIMAL_PLUS_OR_MINUS;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1;1026936, 8;8;8;8, 1;1;1;1, 1;1;1;1, 1;1;1;1, 0;0;0;0, 1595668388572944, 4, 19553, 10111, 600, 1, 6, 0, 0, 0, 21
30, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1032192, 24;16;64, 2;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388589175, 4, 45319, 11673, 1201, 87, 15, 0, 0, 0, 29
31, 0, 0, 3, OUTPUT;OP_INTEGER_COMPARE;IDX_SCAN, 1;1;1026936, 8;8;8, 1;1;1, 1;1;1, 1;1;1, 0;0;0, 1595668388589460, 4, 36919, 9925, 982, 40, 11, 0, 0, 0, 21
