feature, execution_mode, start_time, cpu_id, cpu_cycles, instructions, cache_ref, cache_miss, ref_cpu_cycles_, block_read, block_write, memory_b, elapsed_us
tpch_q7_p6,1,1.59E+15,26,18432,12644,263,65,5,0,0,20512,6
tpch_q7_p7,1,1.59E+15,26,2584,842,31,10,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366784107,1164632989,1417162,689760,121345,0,0,47104,126259
tpch_q1_p2,1,1.59E+15,26,20960,11538,290,183,7,0,0,45088,6
tpch_q1_p3,1,1.59E+15,26,4943,954,43,40,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,161123039,519668681,390779,269569,53257,0,0,0,55378
tpch_scan_lineitem_p1,1,1.59E+15,26,343570147,1162529975,1930209,792441,113628,0,0,0,118143
tpch_q4_p1,1,1.59E+15,26,37335424,123670404,101225,85542,12351,0,0,386560,12895
tpch_q4_p2,1,1.59E+15,26,169913308,480517349,384589,176270,56221,0,0,12288,58462
tpch_q4_p3,1,1.59E+15,26,21264,12811,240,71,7,0,0,10304,7
tpch_q4_p4,1,1.59E+15,26,2178,834,19,6,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,70089,113212,852,273,22,0,0,8208,28
tpch_q11_p2,1,1.59E+15,26,301991,732530,1188,474,97,0,0,9216,102
tpch_q11_p3,1,1.59E+15,26,19797841,60101881,34060,31328,6571,0,0,0,6874
tpch_q11_p4,1,1.59E+15,26,23355214,71157578,54571,7825,7728,0,0,245760,8098
tpch_q11_p5,1,1.59E+15,26,1700001,2127412,11852,3005,569,0,0,114688,600
tpch_q11_p6,1,1.59E+15,26,58179,131212,562,61,18,0,0,0,18
tpch_q5_p1,1,1.59E+15,26,53394,99699,889,125,17,0,0,8208,22
tpch_q5_p2,1,1.59E+15,26,52451,116995,429,71,16,0,0,14400,21
tpch_q5_p3,1,1.59E+15,26,3735401,10215132,14622,4821,1234,0,0,286720,1334
tpch_q5_p4,1,1.59E+15,26,56209872,143738292,278026,52167,18598,0,0,2699264,19710
tpch_q5_p5,1,1.59E+15,26,349727,926124,2861,79,116,0,0,65536,145
tpch_q5_p6,1,1.59E+15,26,193358265,550729233,834424,263532,63907,0,0,14336,66373
tpch_q5_p7,1,1.59E+15,26,14992,12651,228,68,4,0,0,10304,4
tpch_q5_p8,1,1.59E+15,26,2285,868,25,11,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19600225,69386763,31439,15442,6503,0,0,0,6774
tpch_q7_p1,1,1.59E+15,26,102337,172422,1188,285,34,0,0,24608,61
tpch_q7_p2,1,1.59E+15,26,3471620,9657946,9368,2816,1148,0,0,139264,1214
tpch_q7_p3,1,1.59E+15,26,35045829,95237333,129194,6321,11579,0,0,1417216,12175
tpch_q7_p4,1,1.59E+15,26,350476,924063,2781,301,112,0,0,65536,124
tpch_q7_p5,1,1.59E+15,26,206595833,660143287,503976,219930,68317,0,0,24576,71033
tpch_q7_p6,1,1.59E+15,26,14474,12558,272,63,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,2538,842,27,12,0,0,0,0,1
tpch_q1_p1,1,1.59E+15,26,366967713,1164631584,1413424,690196,121346,0,0,47104,127691
tpch_q1_p2,1,1.59E+15,26,23377,11569,312,188,8,0,0,45088,11
tpch_q1_p3,1,1.59E+15,26,5980,956,46,41,1,0,0,0,4
tpch_q6_p1,1,1.59E+15,26,162839625,519670389,394518,274233,53862,0,0,0,57352
tpch_scan_lineitem_p1,1,1.59E+15,26,349477234,1162532658,1946842,794765,115612,0,0,0,122438
tpch_q4_p1,1,1.59E+15,26,38003747,123670962,102975,85376,12561,0,0,386560,13565
tpch_q4_p2,1,1.59E+15,26,170335495,480517715,391330,175651,56320,0,0,12288,58925
tpch_q4_p3,1,1.59E+15,26,22436,12814,286,74,7,0,0,10304,10
tpch_q4_p4,1,1.59E+15,26,2061,834,25,6,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,71432,113417,917,299,24,0,0,8208,33
tpch_q11_p2,1,1.59E+15,26,294401,732531,1265,512,101,0,0,9216,107
tpch_q11_p3,1,1.59E+15,26,19744525,60101744,34150,31299,6538,0,0,0,6810
tpch_q11_p4,1,1.59E+15,26,23424334,71157475,54717,7801,7745,0,0,245760,8121
tpch_q11_p5,1,1.59E+15,26,1856155,2227066,11993,2869,606,0,0,114688,713
tpch_q11_p6,1,1.59E+15,26,58127,131212,557,64,19,0,0,0,20
tpch_q5_p1,1,1.59E+15,26,53939,99700,865,136,17,0,0,8208,23
tpch_q5_p2,1,1.59E+15,26,51814,116995,430,70,16,0,0,14400,20
tpch_q5_p3,1,1.59E+15,26,3753883,10215299,14435,4705,1232,0,0,286720,1303
tpch_q5_p4,1,1.59E+15,26,56899411,143738572,291220,52054,18836,0,0,2699264,20389
tpch_q5_p5,1,1.59E+15,26,347557,926283,2906,95,112,0,0,65536,125
tpch_q5_p6,1,1.59E+15,26,193202646,550729250,817862,266079,63881,0,0,14336,66433
tpch_q5_p7,1,1.59E+15,26,15861,12652,233,81,5,0,0,10304,7
tpch_q5_p8,1,1.59E+15,26,2575,868,28,15,0,0,0,0,1
tpch_scan_orders_p1,1,1.59E+15,26,19619427,69386849,31594,16053,6499,0,0,0,6773
tpch_q7_p1,1,1.59E+15,26,98098,172445,1198,273,33,0,0,24608,41
tpch_q7_p2,1,1.59E+15,26,3481355,9657702,9175,3039,1144,0,0,139264,1203
tpch_q7_p3,1,1.59E+15,26,35047081,95237178,138563,6398,11583,0,0,1417216,12171
tpch_q7_p4,1,1.59E+15,26,349198,924223,2836,273,120,0,0,65536,133
tpch_q7_p5,1,1.59E+15,26,206695663,660143202,507549,222637,68375,0,0,24576,71154
tpch_q7_p6,1,1.59E+15,26,19459,12644,282,90,6,0,0,20512,6
tpch_q7_p7,1,1.59E+15,26,2779,842,30,16,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366885209,1164631753,1415269,687172,121378,0,0,47104,126219
tpch_q1_p2,1,1.59E+15,26,18897,11393,264,149,6,0,0,45088,6
tpch_q1_p3,1,1.59E+15,26,4748,954,47,42,1,0,0,0,2
tpch_q6_p1,1,1.59E+15,26,161129894,519668681,390349,267790,53260,0,0,0,55384
tpch_scan_lineitem_p1,1,1.59E+15,26,343574408,1162529975,1929189,792847,113671,0,0,0,118211
tpch_q4_p1,1,1.59E+15,26,37302198,123670743,101299,85445,12323,0,0,386560,12860
tpch_q4_p2,1,1.59E+15,26,170062891,480517349,384187,175177,56258,0,0,12288,58481
tpch_q4_p3,1,1.59E+15,26,21400,12811,229,64,7,0,0,10304,7
tpch_q4_p4,1,1.59E+15,26,2167,834,26,5,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,68730,113212,900,309,22,0,0,8208,28
tpch_q11_p2,1,1.59E+15,26,299710,732372,1253,493,96,0,0,9216,104
tpch_q11_p3,1,1.59E+15,26,19766964,60101881,34438,31317,6551,0,0,0,6838
tpch_q11_p4,1,1.59E+15,26,23354598,71157578,54000,7820,7725,0,0,245760,8063
tpch_q11_p5,1,1.59E+15,26,1713475,2161424,11662,2914,572,0,0,114688,588
tpch_q11_p6,1,1.59E+15,26,57815,131212,551,76,18,0,0,0,19
tpch_q5_p1,1,1.59E+15,26,56665,99860,865,137,18,0,0,8208,25
tpch_q5_p2,1,1.59E+15,26,52337,116836,396,68,16,0,0,14400,20
tpch_q5_p3,1,1.59E+15,26,3747148,10215033,14595,4736,1247,0,0,286720,1347
tpch_q5_p4,1,1.59E+15,26,56316134,143738292,271892,52218,18617,0,0,2699264,19706
tpch_q5_p5,1,1.59E+15,26,344611,926283,2883,75,122,0,0,65536,137
tpch_q5_p6,1,1.59E+15,26,193037949,550729233,815314,264883,63844,0,0,14336,66405
tpch_q5_p7,1,1.59E+15,26,14698,12651,231,52,4,0,0,10304,4
tpch_q5_p8,1,1.59E+15,26,2239,868,22,11,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19599383,69386763,31595,15624,6488,0,0,0,6745
tpch_q7_p1,1,1.59E+15,26,98453,172444,1129,260,31,0,0,24608,38
tpch_q7_p2,1,1.59E+15,26,3469053,9657940,9094,2939,1140,0,0,139264,1181
tpch_q7_p3,1,1.59E+15,26,35019040,95237518,131192,6397,11585,0,0,1417216,12189
tpch_q7_p4,1,1.59E+15,26,354369,924063,2898,319,114,0,0,65536,126
tpch_q7_p5,1,1.59E+15,26,206729602,660143202,505569,227646,68403,0,0,24576,71218
tpch_q7_p6,1,1.59E+15,26,14977,12644,273,76,5,0,0,20512,4
tpch_q7_p7,1,1.59E+15,26,2572,842,28,15,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366768442,1164631537,1412619,684960,121275,0,0,47104,126119
tpch_q1_p2,1,1.59E+15,26,20536,11479,277,165,6,0,0,45088,7
tpch_q1_p3,1,1.59E+15,26,4429,954,54,50,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,161130231,519668587,390314,268456,53299,0,0,0,55404
tpch_scan_lineitem_p1,1,1.59E+15,26,343618141,1162530112,1929428,793911,113658,0,0,0,118218
tpch_q4_p1,1,1.59E+15,26,37342523,123670585,100521,85500,12350,0,0,386560,12884
tpch_q4_p2,1,1.59E+15,26,169962514,480517349,381465,175950,56207,0,0,12288,58416
tpch_q4_p3,1,1.59E+15,26,19933,12811,233,68,6,0,0,10304,6
tpch_q4_p4,1,1.59E+15,26,2619,834,25,11,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,69178,113414,843,283,23,0,0,8208,30
tpch_q11_p2,1,1.59E+15,26,300086,732371,1192,509,102,0,0,9216,122
tpch_q11_p3,1,1.59E+15,26,19783462,60101744,34417,31324,6548,0,0,0,6839
tpch_q11_p4,1,1.59E+15,26,23363860,71157429,53840,7792,7734,0,0,245760,8125
tpch_q11_p5,1,1.59E+15,26,1693014,2096408,11794,2930,546,0,0,114688,546
tpch_q11_p6,1,1.59E+15,26,58191,131212,529,41,19,0,0,0,20
tpch_q5_p1,1,1.59E+15,26,52926,99699,847,135,18,0,0,8208,24
tpch_q5_p2,1,1.59E+15,26,52242,116836,411,71,16,0,0,14400,20
tpch_q5_p3,1,1.59E+15,26,3712351,10215291,14425,4810,1236,0,0,286720,1336
tpch_q5_p4,1,1.59E+15,26,56152057,143738292,271797,51662,18577,0,0,2699264,19652
tpch_q5_p5,1,1.59E+15,26,346451,926124,2886,89,111,0,0,65536,124
tpch_q5_p6,1,1.59E+15,26,193240892,550729238,815768,270650,63922,0,0,14336,67306
tpch_q5_p7,1,1.59E+15,26,15142,12651,226,87,5,0,0,10304,5
tpch_q5_p8,1,1.59E+15,26,2127,868,21,10,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19835891,69387074,31863,17305,6537,0,0,0,7065
tpch_q7_p1,1,1.59E+15,26,101366,172288,1213,289,34,0,0,24608,43
tpch_q7_p2,1,1.59E+15,26,3530488,9658150,9334,3204,1167,0,0,139264,1279
tpch_q7_p3,1,1.59E+15,26,35167995,95237742,140098,7004,11671,0,0,1417216,12417
tpch_q7_p4,1,1.59E+15,26,359413,924229,2902,347,115,0,0,65536,133
tpch_q7_p5,1,1.59E+15,26,206883001,660143202,506084,228398,68421,0,0,24576,71195
tpch_q7_p6,1,1.59E+15,26,16075,12644,289,65,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,2570,842,25,14,0,0,0,0,1
tpch_q1_p1,1,1.59E+15,26,367385770,1164631536,1414691,685157,121468,0,0,47104,126244
tpch_q1_p2,1,1.59E+15,26,21421,11608,288,183,6,0,0,45088,6
tpch_q1_p3,1,1.59E+15,26,3629,954,44,35,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,161178096,519668586,389817,273269,53342,0,0,0,55555
tpch_scan_lineitem_p1,1,1.59E+15,26,343530344,1162530112,1929868,794354,113600,0,0,0,118091
tpch_q4_p1,1,1.59E+15,26,37771744,123671229,102932,85412,12495,0,0,386560,13494
tpch_q4_p2,1,1.59E+15,26,170055337,480517350,388362,175293,56236,0,0,12288,58504
tpch_q4_p3,1,1.59E+15,26,22122,12811,220,62,7,0,0,10304,7
tpch_q4_p4,1,1.59E+15,26,2140,834,16,7,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,67926,113371,858,279,21,0,0,8208,28
tpch_q11_p2,1,1.59E+15,26,303528,732754,1282,503,101,0,0,9216,126
tpch_q11_p3,1,1.59E+15,26,20280181,60102238,34404,31239,6728,0,0,0,7449
tpch_q11_p4,1,1.59E+15,26,23477342,71157524,56005,7832,7764,0,0,245760,8212
tpch_q11_p5,1,1.59E+15,26,1704248,2113504,11627,2913,570,0,0,114688,601
tpch_q11_p6,1,1.59E+15,26,57638,131212,534,72,18,0,0,0,18
tpch_q5_p1,1,1.59E+15,26,58248,99859,878,139,18,0,0,8208,26
tpch_q5_p2,1,1.59E+15,26,51692,116995,388,60,16,0,0,14400,21
tpch_q5_p3,1,1.59E+15,26,3733677,10215291,14667,4777,1234,0,0,286720,1334
tpch_q5_p4,1,1.59E+15,26,56219658,143738133,276132,51602,18590,0,0,2699264,19657
tpch_q5_p5,1,1.59E+15,26,348387,926124,2850,84,120,0,0,65536,133
tpch_q5_p6,1,1.59E+15,26,193287080,550729233,834401,263847,63947,0,0,14336,66576
tpch_q5_p7,1,1.59E+15,26,16091,12651,235,77,5,0,0,10304,5
tpch_q5_p8,1,1.59E+15,26,2229,868,26,10,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19611099,69386763,31587,15560,6478,0,0,0,6734
tpch_q7_p1,1,1.59E+15,26,97533,172509,1201,283,33,0,0,24608,42
tpch_q7_p2,1,1.59E+15,26,3480929,9658097,9522,2905,1184,0,0,139264,1279
tpch_q7_p3,1,1.59E+15,26,34998672,95237088,132629,6330,11558,0,0,1417216,12165
tpch_q7_p4,1,1.59E+15,26,356030,924222,2856,298,117,0,0,65536,151
tpch_q7_p5,1,1.59E+15,26,206624577,660143201,504495,220140,68311,0,0,24576,70965
tpch_q7_p6,1,1.59E+15,26,15319,12644,272,80,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,4398,842,25,12,1,0,0,0,1
tpch_q1_p1,1,1.59E+15,26,366856547,1164631536,1410412,684899,121382,0,0,47104,126345
tpch_q1_p2,1,1.59E+15,26,19691,11608,290,183,6,0,0,45088,6
tpch_q1_p3,1,1.59E+15,26,4371,954,45,37,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,161187009,519668681,389301,274439,53346,0,0,0,55562
tpch_scan_lineitem_p1,1,1.59E+15,26,343345882,1162529975,1930076,793828,113121,0,0,0,116962
tpch_q4_p1,1,1.59E+15,26,37294673,123670753,101972,85324,12090,0,0,386560,12513
tpch_q4_p2,1,1.59E+15,26,169785483,480517349,386310,177353,54997,0,0,12288,55956
tpch_q4_p3,1,1.59E+15,26,17452,12811,231,79,5,0,0,10304,6
tpch_q4_p4,1,1.59E+15,26,2536,834,25,8,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,74143,113215,917,317,23,0,0,8208,32
tpch_q11_p2,1,1.59E+15,26,298655,732371,1217,483,96,0,0,9216,100
tpch_q11_p3,1,1.59E+15,26,19691375,60101880,34282,31312,6379,0,0,0,6450
tpch_q11_p4,1,1.59E+15,26,23335635,71157578,54450,7821,7581,0,0,245760,7774
tpch_q11_p5,1,1.59E+15,26,1722252,2156383,11598,2886,555,0,0,114688,555
tpch_q11_p6,1,1.59E+15,26,61489,131212,522,85,19,0,0,0,20
tpch_q5_p1,1,1.59E+15,26,57432,99861,917,127,18,0,0,8208,26
tpch_q5_p2,1,1.59E+15,26,52652,116837,419,72,16,0,0,14400,21
tpch_q5_p3,1,1.59E+15,26,3704148,10215131,14490,4815,1212,0,0,286720,1275
tpch_q5_p4,1,1.59E+15,26,56204750,143738134,274997,53070,18204,0,0,2699264,18775
tpch_q5_p5,1,1.59E+15,26,348235,926283,2920,101,112,0,0,65536,125
tpch_q5_p6,1,1.59E+15,26,192940814,550729232,810306,266885,62423,0,0,14336,63035
tpch_q5_p7,1,1.59E+15,26,18195,12651,246,88,5,0,0,10304,6
tpch_q5_p8,1,1.59E+15,26,2831,868,28,10,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19585548,69386764,31454,16601,6364,0,0,0,6452
tpch_q7_p1,1,1.59E+15,26,103136,172449,1177,268,33,0,0,24608,43
tpch_q7_p2,1,1.59E+15,26,3473407,9658083,9146,3104,1120,0,0,139264,1131
tpch_q7_p3,1,1.59E+15,26,34960504,95237356,135709,6625,11322,0,0,1417216,11534
tpch_q7_p4,1,1.59E+15,26,352788,924063,2889,295,113,0,0,65536,126
tpch_q7_p5,1,1.59E+15,26,206703029,660143201,505359,229608,66844,0,0,24576,67394
tpch_q7_p6,1,1.59E+15,26,16767,12644,280,91,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,2745,842,29,16,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366095578,1164631625,1413192,688576,118584,0,0,47104,119590
tpch_q1_p2,1,1.59E+15,26,20244,11437,275,172,6,0,0,45088,8
tpch_q1_p3,1,1.59E+15,26,4685,954,45,40,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,160916021,519668681,390528,274227,52066,0,0,0,52502
tpch_scan_lineitem_p1,1,1.59E+15,26,343072500,1162530112,1930953,796305,111069,0,0,0,112213
tpch_q4_p1,1,1.59E+15,26,37269601,123670360,101101,85451,12074,0,0,386560,12246
tpch_q4_p2,1,1.59E+15,26,170142606,480517348,387759,176542,55006,0,0,12288,55464
tpch_q4_p3,1,1.59E+15,26,23879,12811,228,63,7,0,0,10304,7
tpch_q4_p4,1,1.59E+15,26,2296,834,28,10,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,70036,113469,925,274,24,0,0,8208,33
tpch_q11_p2,1,1.59E+15,26,305389,732530,1230,483,99,0,0,9216,118
tpch_q11_p3,1,1.59E+15,26,19679088,60101743,34202,31288,6348,0,0,0,6354
tpch_q11_p4,1,1.59E+15,26,23336201,71157474,54035,7820,7556,0,0,245760,7679
tpch_q11_p5,1,1.59E+15,26,1741477,2226294,11658,2860,561,0,0,114688,562
tpch_q11_p6,1,1.59E+15,26,58047,131212,484,53,18,0,0,0,18
tpch_q5_p1,1,1.59E+15,26,55065,99699,844,124,17,0,0,8208,23
tpch_q5_p2,1,1.59E+15,26,53109,116995,417,69,17,0,0,14400,21
tpch_q5_p3,1,1.59E+15,26,3749348,10215033,14681,4783,1236,0,0,286720,1336
tpch_q5_p4,1,1.59E+15,26,56382390,143738291,278632,52511,18264,0,0,2699264,18781
tpch_q5_p5,1,1.59E+15,26,350105,926124,2871,87,112,0,0,65536,126
tpch_q5_p6,1,1.59E+15,26,194418972,550729302,836775,285804,62889,0,0,14336,66771
tpch_q5_p7,1,1.59E+15,26,14567,12651,231,93,4,0,0,10304,4
tpch_q5_p8,1,1.59E+15,26,2770,868,21,13,0,0,0,0,1
tpch_scan_orders_p1,1,1.59E+15,26,19744366,69386791,31601,21191,6404,0,0,0,6508
tpch_q7_p1,1,1.59E+15,26,111763,172294,1184,324,35,0,0,24608,49
tpch_q7_p2,1,1.59E+15,26,3473639,9658093,9237,4018,1120,0,0,139264,1139
tpch_q7_p3,1,1.59E+15,26,34972628,95237515,132842,8396,11322,0,0,1417216,11550
tpch_q7_p4,1,1.59E+15,26,361445,924072,2865,380,116,0,0,65536,136
tpch_q7_p5,1,1.59E+15,26,207254685,660143232,506508,241830,67012,0,0,24576,67587
tpch_q7_p6,1,1.59E+15,26,16122,12644,284,99,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,2763,842,32,13,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366097484,1164631536,1411796,688417,118447,0,0,47104,119574
tpch_q1_p2,1,1.59E+15,26,22437,11608,271,172,7,0,0,45088,7
tpch_q1_p3,1,1.59E+15,26,5426,954,42,37,1,0,0,0,1
tpch_q6_p1,1,1.59E+15,26,160803751,519668680,389951,273785,52204,0,0,0,52607
tpch_scan_lineitem_p1,1,1.59E+15,26,343142277,1162529974,1931326,796194,110944,0,0,0,111805
tpch_q4_p1,1,1.59E+15,26,37243973,123670587,101511,85493,12036,0,0,386560,12174
tpch_q4_p2,1,1.59E+15,26,170936586,480518306,391845,176750,55309,0,0,12288,56608
tpch_q4_p3,1,1.59E+15,26,22368,12811,228,75,7,0,0,10304,7
tpch_q4_p4,1,1.59E+15,26,2256,834,20,5,0,0,0,0,0
tpch_q11_p1,1,1.59E+15,26,69722,113372,881,283,22,0,0,8208,28
tpch_q11_p2,1,1.59E+15,26,299478,732530,1235,492,96,0,0,9216,101
tpch_q11_p3,1,1.59E+15,26,19769758,60101979,34380,31296,6378,0,0,0,6427
tpch_q11_p4,1,1.59E+15,26,23331355,71157404,53374,7799,7531,0,0,245760,7622
tpch_q11_p5,1,1.59E+15,26,1712924,2156181,11623,2815,552,0,0,114688,552
tpch_q11_p6,1,1.59E+15,26,59030,131212,469,45,18,0,0,0,19
tpch_q5_p1,1,1.59E+15,26,63497,99708,856,140,20,0,0,8208,32
tpch_q5_p2,1,1.59E+15,26,52991,116996,430,59,17,0,0,14400,21
tpch_q5_p3,1,1.59E+15,26,3751016,10215648,14646,4802,1227,0,0,286720,1296
tpch_q5_p4,1,1.59E+15,26,56517747,143737813,282737,52610,18289,0,0,2699264,18768
tpch_q5_p5,1,1.59E+15,26,349050,926283,2917,103,120,0,0,65536,134
tpch_q5_p6,1,1.59E+15,26,193328308,550729318,828144,266924,62540,0,0,14336,63119
tpch_q5_p7,1,1.59E+15,26,18174,12565,224,73,5,0,0,10304,6
tpch_q5_p8,1,1.59E+15,26,2677,868,32,13,0,0,0,0,0
tpch_scan_orders_p1,1,1.59E+15,26,19565554,69386806,31379,16251,6324,0,0,0,6365
tpch_q7_p1,1,1.59E+15,26,101215,172444,1189,282,32,0,0,24608,38
tpch_q7_p2,1,1.59E+15,26,3483779,9657924,9224,3109,1124,0,0,139264,1159
tpch_q7_p3,1,1.59E+15,26,34978799,95237484,132378,6618,11321,0,0,1417216,11550
tpch_q7_p4,1,1.59E+15,26,349542,924222,2875,325,112,0,0,65536,124
tpch_q7_p5,1,1.59E+15,26,206631695,660143201,503354,229599,66797,0,0,24576,67277
tpch_q7_p6,1,1.59E+15,26,16366,12644,285,110,5,0,0,20512,5
tpch_q7_p7,1,1.59E+15,26,3151,842,23,13,0,0,0,0,0
tpch_q1_p1,1,1.59E+15,26,366349753,1164631622,1412374,688928,118537,0,0,47104,119654
tpch_q1_p2,1,1.59E+15,26,20749,11522,293,184,6,0,0,45088,6
